id;title;desc;service;classification;pssi;tags;owner;frequency;lastRefresh;pbirsPath;viewcount;adGroups;pbirsUrl
rep-1;Analyse de la ponctualité au départ;Analyse des performances de ponctualité des trains au point de départ de leur circulation.;Qualité;self-service;public;"[""Ponctualité"", ""Performance opérationnelle""]";Sylvain Rauch;Hebdomadaire;46176,94305;/QUALITE/ANALYSES AD HOC/Analyse de la ponctualité au départ;1712;DW_POWERBI_QUALITE_ANALYSESADHOC;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/ANALYSES AD HOC/Analyse de la ponctualité au départ
rep-2;Analyse hebdo des causes retard;Suivi hebdomadaire des principales causes de retards observées sur le réseau.;Qualité;self-service;interne;"[""Ponctualité"", ""Performance opérationnelle""]";Gilles Becker;Mensuel;46038,71527;/QUALITE/ANALYSES AD HOC/Analyse hebdo des causes retard;1774;DW_POWERBI_QUALITE_ANALYSESADHOC;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/ANALYSES AD HOC/Analyse hebdo des causes retard
rep-3;Analyse train;Analyse détaillée de la performance et des incidents d'un train ou d'un ensemble de trains.;Qualité;self-service;public;"[""Performance opérationnelle"", ""Ponctualité""]";Sylvain Rauch;Hebdomadaire;46047,35143;/QUALITE/ANALYSES AD HOC/Analyse train;368;DW_POWERBI_QUALITE_ANALYSESADHOC;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/ANALYSES AD HOC/Analyse train
rep-4;Annonces GSM-R;Suivi des annonces et communications diffusées via le réseau GSM-R.;Qualité;self-service;public;"[""Information voyageurs"", ""Performance opérationnelle""]";Gilles Becker;Mensuel;46024,12619;/QUALITE/ANALYSES AD HOC/Annonces GSM-R;1116;DW_POWERBI_QUALITE_ANALYSESADHOC;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/ANALYSES AD HOC/Annonces GSM-R
rep-5;Nb trains (planifiés) et voyageurs passant par établissement;Statistiques des trains planifiés et des flux voyageurs par établissement.;Qualité;self-service;public;"[""Volume d'activité"", ""Performance opérationnelle""]";Gilles Becker;Mensuel;46038,85115;/QUALITE/ANALYSES AD HOC/Nb trains (planifiés) et voyageurs passant par établissement;1179;DW_POWERBI_QUALITE_ANALYSESADHOC;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/ANALYSES AD HOC/Nb trains (planifiés) et voyageurs passant par établissement
rep-6;Rapport forces majeures;Identification et suivi des impacts liés aux événements de force majeure.;Qualité;self-service;public;"[""Performance opérationnelle"", ""Infrastructure""]";Gilles Becker;Hebdomadaire;46075,64475;/QUALITE/ANALYSES AD HOC/Rapport forces majeures;391;DW_POWERBI_QUALITE_ANALYSESADHOC;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/ANALYSES AD HOC/Rapport forces majeures
rep-7;Rapports ponctualité;Vue consolidée des indicateurs de ponctualité du trafic ferroviaire.;Qualité;self-service;interne;"[""Ponctualité"", ""Pilotage direction""]";Gilles Becker;Hebdomadaire;46219,65834;/QUALITE/ANALYSES AD HOC/Rapports ponctualité;888;DW_POWERBI_QUALITE_ANALYSESADHOC;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/ANALYSES AD HOC/Rapports ponctualité
rep-8;Retards réguliers;Analyse des retards récurrents afin d'identifier les problématiques structurelles.;Qualité;self-service;public;"[""Ponctualité"", ""Performance opérationnelle""]";Gilles Becker;Quotidien;46193,48031;/QUALITE/ANALYSES AD HOC/Retards réguliers;1556;DW_POWERBI_QUALITE_ANALYSESADHOC;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/ANALYSES AD HOC/Retards réguliers
rep-9;Clearing Code 5XX;Suivi et analyse des retards associés aux codes causes de la série 5XX.;Qualité;dwh;public;"[""Ponctualité"", ""Performance opérationnelle""]";Gilles Becker;Hebdomadaire;46133,67525;/QUALITE/Clearing/Clearing Code 5XX;1410;DW_POWERBI_QUALITE_CLEARINGEF;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/Clearing/Clearing Code 5XX
rep-10;Écrans H00;Visualisation synthétique des indicateurs opérationnels utilisés lors du point H00.;Qualité;dwh;confidentiel;"[""Performance opérationnelle"", ""Pilotage direction""]";Gilles Becker;Mensuel;46211,2153;/QUALITE/H00/Écrans H00;483;DW_POWERBI_QUALITE_H00;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/H00/Écrans H00
rep-11;Quotidienne H00;Rapport quotidien des principaux indicateurs de qualité et d'exploitation.;Qualité;dwh;confidentiel;"[""Performance opérationnelle"", ""Pilotage direction""]";Sylvain Rauch;Mensuel;46201,76182;/QUALITE/H00/Quotidienne H00;1296;DW_POWERBI_QUALITE_H01;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/H00/Quotidienne H00
rep-12;Tableau de bord H00;Tableau de bord centralisant les indicateurs clés suivis lors des réunions H00.;Qualité;dwh;interne;"[""Performance opérationnelle"", ""Pilotage direction""]";Sylvain Rauch;Hebdomadaire;46023,7002;/QUALITE/H00/Tableau de bord H00;1999;DW_POWERBI_QUALITE_H02;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/H00/Tableau de bord H00
